Id,SaleCondition,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,SalePrice
1,Normal,8450,7,5,2003,196,1710,1,0,2,1,3,0,548,208500
2,Normal,9600,6,8,1976,0,1262,0,1,2,0,3,1,460,181500
3,Normal,11250,7,5,2002,162,1786,1,0,2,1,3,1,608,223500
4,Abnorml,9550,7,5,1970,0,1717,1,0,1,0,3,1,642,140000
5,Normal,14260,8,5,2000,350,2198,1,0,2,1,4,1,836,250000
6,Normal,14115,5,5,1995,0,1362,1,0,1,1,1,0,480,143000
7,Normal,10084,8,5,2005,186,1694,1,0,2,0,3,1,636,307000
8,Normal,10382,7,6,1973,240,2090,1,0,2,1,3,2,484,200000
9,Abnorml,6120,7,5,1950,0,1774,0,0,2,0,2,2,468,129900
10,Normal,7420,5,6,1950,0,1077,1,0,1,0,2,2,205,118000
11,Normal,11200,5,5,1965,0,1040,1,0,1,0,3,0,384,129500
12,Partial,11924,9,5,2006,286,2324,1,0,3,0,4,2,736,345000
13,Normal,12968,5,6,1962,0,912,1,0,1,0,2,0,352,144000
14,Partial,10652,7,5,2007,306,1494,0,0,2,0,3,1,840,279500
15,Normal,10920,6,5,1960,212,1253,1,0,1,1,2,1,352,157000
16,Normal,6120,7,8,2001,0,854,0,0,1,0,2,0,576,132000
17,Normal,11241,6,7,1970,180,1004,1,0,1,0,2,1,480,149000
18,Normal,10791,4,5,1967,0,1296,0,0,2,0,2,0,516,90000
19,Normal,13695,5,5,2004,0,1114,1,0,1,1,3,0,576,159000
20,Abnorml,7560,5,6,1965,0,1339,0,0,1,0,3,0,294,139000
21,Partial,14215,8,5,2006,380,2376,0,0,3,1,4,1,853,325300
22,Normal,7449,7,7,1950,0,1108,0,0,1,0,3,1,280,139400
23,Normal,9742,8,5,2002,281,1795,0,0,2,0,3,1,534,230000
24,Normal,4224,5,7,1976,0,1060,1,0,1,0,3,1,572,129900
25,Normal,8246,5,8,2001,0,1060,1,0,1,0,3,1,270,154000
26,Normal,14230,8,5,2007,640,1600,0,0,2,0,3,1,890,256300
27,Normal,7200,5,7,2000,0,900,0,1,1,0,3,0,576,134800
28,Normal,11478,8,5,2008,200,1704,1,0,2,0,3,1,772,306000
29,Normal,16321,5,6,1997,0,1600,1,0,1,0,2,2,319,207500
30,Normal,6324,4,6,1950,0,520,0,0,1,0,1,0,240,68500
31,Normal,8500,4,4,1950,0,1317,0,0,1,0,3,0,250,40000
32,Normal,8544,5,6,2006,0,1228,0,0,1,1,3,0,271,149350
33,Normal,11049,8,5,2007,0,1234,0,0,2,0,3,0,484,179900
34,Normal,10552,5,5,1959,0,1700,0,1,1,1,4,1,447,165500
35,Normal,7313,9,5,2005,246,1561,1,0,2,0,2,1,556,277500
36,Normal,13418,8,5,2005,132,2452,0,0,3,1,4,1,691,309000
37,Normal,10859,5,5,1995,0,1097,0,0,1,1,3,0,672,145000
38,Normal,8532,5,6,1990,650,1297,0,1,1,0,3,1,498,153000
39,Abnorml,7922,5,7,2007,0,1057,1,0,1,0,3,0,246,109000
40,AdjLand,6040,4,5,1955,0,1152,0,0,2,0,2,0,0,82000
41,Abnorml,8658,6,5,1965,101,1324,0,0,2,0,3,1,440,160000
