Id,Neighborhood,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,SalePrice
1,CollgCr,8450,7,5,2003,196,1710,1,0,2,1,3,0,548,208500
2,Veenker,9600,6,8,1976,0,1262,0,1,2,0,3,1,460,181500
3,CollgCr,11250,7,5,2002,162,1786,1,0,2,1,3,1,608,223500
4,Crawfor,9550,7,5,1970,0,1717,1,0,1,0,3,1,642,140000
5,NoRidge,14260,8,5,2000,350,2198,1,0,2,1,4,1,836,250000
6,Mitchel,14115,5,5,1995,0,1362,1,0,1,1,1,0,480,143000
7,Somerst,10084,8,5,2005,186,1694,1,0,2,0,3,1,636,307000
8,NWAmes,10382,7,6,1973,240,2090,1,0,2,1,3,2,484,200000
9,OldTown,6120,7,5,1950,0,1774,0,0,2,0,2,2,468,129900
10,BrkSide,7420,5,6,1950,0,1077,1,0,1,0,2,2,205,118000
11,Sawyer,11200,5,5,1965,0,1040,1,0,1,0,3,0,384,129500
12,NridgHt,11924,9,5,2006,286,2324,1,0,3,0,4,2,736,345000
13,Sawyer,12968,5,6,1962,0,912,1,0,1,0,2,0,352,144000
14,CollgCr,10652,7,5,2007,306,1494,0,0,2,0,3,1,840,279500
15,NAmes,10920,6,5,1960,212,1253,1,0,1,1,2,1,352,157000
16,BrkSide,6120,7,8,2001,0,854,0,0,1,0,2,0,576,132000
17,NAmes,11241,6,7,1970,180,1004,1,0,1,0,2,1,480,149000
18,Sawyer,10791,4,5,1967,0,1296,0,0,2,0,2,0,516,90000
19,SawyerW,13695,5,5,2004,0,1114,1,0,1,1,3,0,576,159000
20,NAmes,7560,5,6,1965,0,1339,0,0,1,0,3,0,294,139000
21,NridgHt,14215,8,5,2006,380,2376,0,0,3,1,4,1,853,325300
22,IDOTRR,7449,7,7,1950,0,1108,0,0,1,0,3,1,280,139400
23,CollgCr,9742,8,5,2002,281,1795,0,0,2,0,3,1,534,230000
24,MeadowV,4224,5,7,1976,0,1060,1,0,1,0,3,1,572,129900
25,Sawyer,8246,5,8,2001,0,1060,1,0,1,0,3,1,270,154000
26,NridgHt,14230,8,5,2007,640,1600,0,0,2,0,3,1,890,256300
