Id,HouseStyle,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,SalePrice
1,2Story,8450,7,5,2003,196,1710,1,0,2,1,3,0,548,208500
2,1Story,9600,6,8,1976,0,1262,0,1,2,0,3,1,460,181500
3,2Story,11250,7,5,2002,162,1786,1,0,2,1,3,1,608,223500
4,2Story,9550,7,5,1970,0,1717,1,0,1,0,3,1,642,140000
5,2Story,14260,8,5,2000,350,2198,1,0,2,1,4,1,836,250000
6,1.5Fin,14115,5,5,1995,0,1362,1,0,1,1,1,0,480,143000
7,1Story,10084,8,5,2005,186,1694,1,0,2,0,3,1,636,307000
8,2Story,10382,7,6,1973,240,2090,1,0,2,1,3,2,484,200000
9,1.5Fin,6120,7,5,1950,0,1774,0,0,2,0,2,2,468,129900
10,1.5Unf,7420,5,6,1950,0,1077,1,0,1,0,2,2,205,118000
11,1Story,11200,5,5,1965,0,1040,1,0,1,0,3,0,384,129500
12,2Story,11924,9,5,2006,286,2324,1,0,3,0,4,2,736,345000
13,1Story,12968,5,6,1962,0,912,1,0,1,0,2,0,352,144000
14,1Story,10652,7,5,2007,306,1494,0,0,2,0,3,1,840,279500
15,1Story,10920,6,5,1960,212,1253,1,0,1,1,2,1,352,157000
16,1.5Unf,6120,7,8,2001,0,854,0,0,1,0,2,0,576,132000
17,1Story,11241,6,7,1970,180,1004,1,0,1,0,2,1,480,149000
18,1Story,10791,4,5,1967,0,1296,0,0,2,0,2,0,516,90000
19,1Story,13695,5,5,2004,0,1114,1,0,1,1,3,0,576,159000
20,1Story,7560,5,6,1965,0,1339,0,0,1,0,3,0,294,139000
21,2Story,14215,8,5,2006,380,2376,0,0,3,1,4,1,853,325300
22,1.5Unf,7449,7,7,1950,0,1108,0,0,1,0,3,1,280,139400
23,1Story,9742,8,5,2002,281,1795,0,0,2,0,3,1,534,230000
24,1Story,4224,5,7,1976,0,1060,1,0,1,0,3,1,572,129900
25,1Story,8246,5,8,2001,0,1060,1,0,1,0,3,1,270,154000
26,1Story,14230,8,5,2007,640,1600,0,0,2,0,3,1,890,256300
27,1Story,7200,5,7,2000,0,900,0,1,1,0,3,0,576,134800
28,1Story,11478,8,5,2008,200,1704,1,0,2,0,3,1,772,306000
29,1Story,16321,5,6,1997,0,1600,1,0,1,0,2,2,319,207500
30,1Story,6324,4,6,1950,0,520,0,0,1,0,1,0,240,68500
31,2Story,8500,4,4,1950,0,1317,0,0,1,0,3,0,250,40000
32,1Story,8544,5,6,2006,0,1228,0,0,1,1,3,0,271,149350
33,1Story,11049,8,5,2007,0,1234,0,0,2,0,3,0,484,179900
34,1Story,10552,5,5,1959,0,1700,0,1,1,1,4,1,447,165500
35,1Story,7313,9,5,2005,246,1561,1,0,2,0,2,1,556,277500
36,2Story,13418,8,5,2005,132,2452,0,0,3,1,4,1,691,309000
37,1Story,10859,5,5,1995,0,1097,0,0,1,1,3,0,672,145000
38,1Story,8532,5,6,1990,650,1297,0,1,1,0,3,1,498,153000
39,1Story,7922,5,7,2007,0,1057,1,0,1,0,3,0,246,109000
40,1Story,6040,4,5,1955,0,1152,0,0,2,0,2,0,0,82000
41,1Story,8658,6,5,1965,101,1324,0,0,2,0,3,1,440,160000
42,1Story,16905,5,6,1959,0,1328,0,1,1,1,2,2,308,170000
43,SFoyer,9180,5,7,1983,0,884,1,0,1,0,2,0,504,144000
44,1Story,9200,5,6,1980,0,938,1,0,1,0,3,0,308,130250
45,1Story,7945,5,6,1959,0,1150,1,0,1,0,3,0,300,141000
46,1Story,7658,9,5,2005,412,1752,1,0,2,0,2,1,576,319900
47,1.5Fin,12822,7,5,2003,0,2149,1,0,1,1,1,1,670,239686
48,1Story,11096,8,5,2006,0,1656,0,0,2,0,3,0,826,249700
49,2Story,4456,4,5,2008,0,1452,0,0,2,0,2,0,0,113000
50,1Story,7742,5,7,1966,0,955,1,0,1,0,3,0,386,127000
51,2Story,13869,6,6,1997,0,1470,0,1,2,0,3,0,388,177000
52,1.5Fin,6240,6,6,1950,0,1176,0,0,1,0,3,1,528,114500
53,1Story,8472,5,5,1963,0,816,1,0,1,0,2,0,516,110000
54,1Story,50271,9,5,1987,0,1842,2,0,0,1,0,1,894,385000
55,SLvl,7134,5,5,1955,0,1360,0,0,1,0,3,1,572,130000
56,1Story,10175,6,5,1964,272,1425,0,0,2,0,3,1,576,180500
57,2Story,2645,8,5,2000,456,1739,1,0,2,1,3,0,480,172500
58,2Story,11645,7,5,2004,0,1720,0,0,2,1,3,0,565,196500
59,2Story,13682,10,5,2006,1031,2945,0,0,3,1,3,1,641,438780
60,1Story,7200,5,7,1972,0,780,0,0,1,0,2,0,352,124900
61,1Story,13072,6,5,2004,0,1158,1,0,1,1,3,0,576,158000
62,2.5Unf,7200,5,7,1996,0,1111,0,0,1,0,3,0,288,101000
63,1Story,6442,8,5,2006,178,1370,0,0,2,0,2,1,484,202500
64,2Story,10300,7,6,1950,0,1710,0,0,2,0,3,0,480,140000
65,2Story,9375,7,5,1998,573,2034,1,0,2,1,3,0,645,219500
66,2Story,9591,8,5,2005,344,2473,0,0,2,1,4,1,852,317000
67,1Story,19900,7,5,1989,287,2207,1,0,2,0,3,1,576,180000
68,1Story,10665,7,5,2003,167,1479,1,0,2,0,3,0,558,226000
69,1Story,4608,4,6,1950,0,747,0,0,1,0,2,0,220,80000
70,1.5Fin,15593,7,4,1953,0,2287,0,0,2,0,3,1,667,225000
71,1Story,13651,7,6,1973,1115,2223,1,0,2,0,3,2,516,244000
72,1Story,7599,4,6,2006,0,845,1,0,1,0,2,0,360,129500
73,2Story,10141,7,5,1998,40,1718,0,0,2,1,3,1,427,185000
74,1Story,10200,5,7,2003,104,1086,1,0,1,0,3,0,490,144900
75,2Story,5790,3,6,1950,0,1605,0,0,2,0,3,0,379,107400
76,SLvl,1596,4,5,1973,0,988,1,0,1,0,2,0,297,91000
77,1Story,8475,4,7,1956,0,952,0,0,1,0,2,0,283,135750
78,1.5Fin,8635,5,5,2001,0,1285,1,0,1,0,2,0,240,127000
79,1Story,10778,4,5,1968,0,1768,0,0,2,0,4,0,0,136500
80,2Story,10440,5,6,1981,0,1230,0,0,1,1,2,0,440,110000
81,2Story,13000,6,6,1968,576,2142,0,0,2,1,4,1,509,193500
82,1Story,4500,6,5,1998,443,1337,1,0,2,0,2,0,405,153500
83,1Story,10206,8,5,2007,468,1563,0,0,2,0,3,1,758,245000
84,1Story,8892,5,5,1960,66,1065,0,0,1,1,3,0,461,126500
85,SLvl,8530,7,5,1996,22,1474,0,0,2,1,3,1,400,168500
86,2Story,16059,8,5,1992,284,2417,0,0,2,1,4,1,462,260000
87,2Story,11911,6,5,2005,0,1560,0,0,2,1,3,1,400,174000
88,2Story,3951,6,5,2009,76,1224,0,0,2,1,2,0,528,164500
89,1.5Fin,8470,3,2,1982,0,1526,0,0,1,0,2,0,0,85000
90,1Story,8070,4,5,1995,0,990,1,0,1,0,3,0,0,123600
91,1Story,7200,4,5,1950,0,1040,0,0,1,0,2,0,420,109900
92,1Story,8500,5,3,1961,203,1235,0,0,1,0,2,0,480,98600
93,1Story,13360,5,7,2006,0,964,1,0,1,0,2,0,432,163500
94,2.5Unf,7200,6,6,1998,0,2291,0,1,2,0,4,1,506,133900
95,2Story,9337,6,5,1997,0,1786,1,0,2,1,3,0,684,204750
96,2Story,9765,6,8,1993,68,1470,0,0,2,1,3,1,420,185000
97,1Story,10264,7,5,1999,183,1588,0,0,2,0,3,0,472,214000
98,1Story,10921,4,5,1965,48,960,1,0,1,0,3,0,432,94750
99,1Story,10625,5,5,1950,0,835,0,0,1,0,2,0,366,83000
100,1Story,9320,4,5,1959,0,1225,1,0,1,1,3,0,0,128950
101,1Story,10603,6,7,2001,28,1610,1,0,2,0,3,2,480,205000
102,2Story,9206,6,5,1985,336,1732,0,0,2,1,3,1,476,178000
103,1Story,7018,5,5,1979,0,1535,0,0,2,0,4,0,410,118964
104,1Story,10402,7,5,2009,0,1226,0,0,2,0,3,0,740,198900
