Id,SalePrice,LotArea,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinType2,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition
1,208500,8450,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,CompShg,VinylSd,VinylSd,196,Gd,TA,PConc,Unf,1710,1,0,2,1,3,Gd,Typ,0,,Attchd,548,TA,Y,2,2008,WD,Normal
2,181500,9600,AllPub,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,Unf,1262,0,1,2,0,3,TA,Typ,1,TA,Attchd,460,TA,Y,5,2007,WD,Normal
3,223500,11250,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,CompShg,VinylSd,VinylSd,162,Gd,TA,PConc,Unf,1786,1,0,2,1,3,Gd,Typ,1,TA,Attchd,608,TA,Y,9,2008,WD,Normal
4,140000,9550,AllPub,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,CompShg,Wd Sdng,Wd Shng,0,TA,TA,BrkTil,Unf,1717,1,0,1,0,3,Gd,Typ,1,Gd,Detchd,642,TA,Y,2,2006,WD,Abnorml
5,250000,14260,AllPub,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,CompShg,VinylSd,VinylSd,350,Gd,TA,PConc,Unf,2198,1,0,2,1,4,Gd,Typ,1,TA,Attchd,836,TA,Y,12,2008,WD,Normal
6,143000,14115,AllPub,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,CompShg,VinylSd,VinylSd,0,TA,TA,Wood,Unf,1362,1,0,1,1,1,TA,Typ,0,,Attchd,480,TA,Y,10,2009,WD,Normal
7,307000,10084,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,186,Gd,TA,PConc,Unf,1694,1,0,2,0,3,Gd,Typ,1,Gd,Attchd,636,TA,Y,8,2007,WD,Normal
8,200000,10382,AllPub,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,CompShg,HdBoard,HdBoard,240,TA,TA,CBlock,BLQ,2090,1,0,2,1,3,TA,Typ,2,TA,Attchd,484,TA,Y,11,2009,WD,Normal
9,129900,6120,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,CompShg,BrkFace,Wd Shng,0,TA,TA,BrkTil,Unf,1774,0,0,2,0,2,TA,Min1,2,TA,Detchd,468,TA,Y,4,2008,WD,Abnorml
10,118000,7420,AllPub,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,Unf,1077,1,0,1,0,2,TA,Typ,2,TA,Attchd,205,TA,Y,1,2008,WD,Normal
